id	city	lng	lat
cnl00015980	Aichach	11.1331	48.6331
cnl00028145	Igualada, Catalunya	1.6167	41.5831
cnl00016931	Esztergom	18.75	47.7997
cnl00005018	Beemster	4.9331	52.5667
cnl00003085	Longchamps	2.2339	48.8606
cnl00014962	Vaudemont	6.0497	48.42
cnl00016321	Naaldwijk	4.2167	5.2667
cnl00016286	Diepenveen	6.15	5.3381
cnl00016304	Hattem	5.0667	52.4667
cnl00016340	Susteren	5.8667	51.7831
cnl00016351	Westerblokker	5.0831	52.6497
cnl00016291	Egmond	4.6167	52.6167
cnl00016307	Hensbroek	45.5	52.6497
cnl00016312	IJsselstein	5.5	52.0167
cnl00016313	Jutphaas	50.8331	50.8331
cnl00016332	Rossum	52.35	6.9167
cnl00007581	Blanchefosse-et-Bay	4.2197	49.77
cnl00008076	Nozzano	10.4297	43.85
cnl00014684	Tongerlo	4.9	51.1197
cnl00014517	Tambach-Dietharz, Thüringer Wald	10.6197	50.7997
cnl00000302	Gabelberg	8.4147	46.5722
cnl00001228	Riom	3.12	45.8997
cnl00016413	Bezdán	18.925	45.8517
cnl00000075	Bärn	17.4444	49.7964
cnl00014033	Setúbal	-8.9	38.53
cnl00016266	Abcoude	4.9831	52.2667
cnl00001936	Bionne	3.8206	43.6019
cnl00003763	Binghamton, NY	-75.9117	42.1019
cnl00016276	Binderen	5.6667	51.4831
cnl00016277	Binnenwijzend	5.1331	52.6667
cnl00018664	Calahorra	1.9508	43.3506
cnl00003087	Laskas	22.0831	56.1667
cnl00003578	La Forest-sur-Sêvre	0.6331	46.7667
cnl00003158	La Motte	4.8525	45.7444
cnl00001506	Weidenbach	6.9453	50.9281
cnl00003705	Alton	-0.9767	51.1494
cnl00003135	Monasterium Alexandri Nevski	30.3878	59.9206
cnl00002808	Almeirin	-8.6283	39.2092
cnl00003658	Weinheim, Alzey	8.1158	49.7517
cnl00016704	Ólubló	20.6883	49.3017
cnl00000888	Macao	113.5497	22.1667
cnl00002268	Orense	7.8631	42.3364
cnl00001829	Ammerdon Park	-2.4472	51.2922
cnl00003139	Marienthal, Rheingau	76.1667	50.0
cnl00005360	Sommelsdijk	5.5	51.7667
cnl00005443	Kralingen	40.5	51.9167
cnl00016371	Abádszalók	20.6167	47.4667
cnl00016414	Bicske	18.6364	47.4906
cnl00016430	Buziásfürdő	21.5831	45.0719
cnl00016440	Csepel	18.9497	47.2667
cnl00016449	Csorna	17.25	47.45
cnl00016459	Detrekő	17.25	46.4831
cnl00016596	Kula	18.5331	45.6
cnl00016639	Miaburgi	20.7831	48.1
cnl00016751	Rahó	24.2053	48.0556
cnl00007814	Buchsweiler	7.48	48.82
cnl00008644	Disentis	8.8497	46.7
cnl00009084	Falaise	-0.2	48.8997
cnl00009507	Goes	3.8797	51.5
cnl00014783	Trogen	9.47	47.3997
cnl00016267	Agnietenberg	6.1331	52.5331
cnl00016288	Doesburg	5.62	52.07
cnl00016372	Abony	20.0053	47.1892
cnl00016373	Abrudbánya	23.0631	46.2739
cnl00016557	Karánsebes	221.5	45.4167
cnl00001303	Sankt Viktor	8.2925	49.9847
cnl00006696	Albacete	-1.51	38.59
cnl00015778	Zug	8.5197	47.17
cnl00016318	Monnikendam	5.03	52.4697
cnl00016393	Balkány	47.7667	47.7667
